Wavelength,AbsorptionRate,Transmission,OpticalDensity,Material
580,0.000100667,88.30658405,56.988151,ITO
581,9.26E-05,88.38611337,57.03017113,ITO
582,8.46E-05,88.45486456,60.06879673,ITO
583,7.71E-05,88.5135961,57.72495228,ITO
584,7.17E-05,88.56307388,53.25512109,ITO
585,6.63E-05,88.60406376,43.54209112,ITO
586,6.09E-05,88.63733164,46.19432499,ITO
587,5.56E-05,88.66364339,52.14982771,ITO
588,5.04E-05,88.68376488,64.56929021,ITO
589,4.68E-05,88.69846199,62.86888148,ITO
590,4.33E-05,88.70850061,53.14990111,ITO
591,3.97E-05,88.71464662,61.51227239,ITO
592,3.61E-05,88.71765801,77.37512611,ITO
593,3.26E-05,88.7182022,48.41747055,ITO
594,3.03E-05,88.71688858,46.99208273,ITO
595,2.80E-05,88.71432557,66.79780147,ITO
596,2.56E-05,88.7111216,56.03915506,ITO
597,2.33E-05,88.7078851,61.36071108,ITO
598,2.09E-05,88.7052245,54.72847774,ITO
599,1.94E-05,88.70374823,36.88142937,ITO
600,1.79E-05,88.70406472,62.06125099,ITO
601,1.64E-05,88.7067824,66.65756554,ITO
602,1.48E-05,88.71250971,53.50907489,ITO
603,1.33E-05,88.72179723,55.8976295,ITO
604,1.23E-05,88.73426016,54.58880068,ITO
605,1.13E-05,88.74875599,47.72884658,ITO
606,1.04E-05,88.76412046,52.88626969,ITO
607,9.39E-06,88.77918929,48.5526887,ITO
608,8.41E-06,88.79279818,40.68591087,ITO
609,7.75E-06,88.80378286,58.11465365,ITO
610,7.13E-06,88.81097904,68.56858009,ITO
611,6.50E-06,88.81322246,68.75810843,ITO
612,5.88E-06,88.80975869,62.01312556,ITO
613,5.25E-06,88.80141451,52.73466668,ITO
614,4.83E-06,88.78939789,54.91031149,ITO
615,4.43E-06,88.77491684,69.35197476,ITO
616,4.04E-06,88.75917933,70.25015925,ITO
617,3.64E-06,88.74339336,51.04058899,ITO
618,3.25E-06,88.72876692,48.08709289,ITO
619,2.98E-06,88.71650799,60.05008544,ITO
620,2.73E-06,88.70753299,72.72315341,ITO
621,2.49E-06,88.70139299,64.6421418,ITO
622,2.24E-06,88.6972398,66.83025726,ITO
623,1.99E-06,88.69422513,64.07652119,ITO
624,1.82E-06,88.69150074,51.31455124,ITO
625,1.67E-06,88.68821836,41.94843329,ITO
626,1.51E-06,88.68352973,44.39807834,ITO
627,1.36E-06,88.67658659,59.18461977,ITO
628,1.21E-06,88.66654067,54.3119209,ITO
629,1.10E-06,88.65254371,51.79054684,ITO
630,1.01E-06,88.63374746,40.53143367,ITO
631,9.14E-07,88.60932194,44.99848826,ITO
632,8.21E-07,88.57938241,51.52005201,ITO
633,7.28E-07,88.54542761,37.70754285,ITO
634,6.59E-07,88.50906625,41.9711438,ITO
635,6.03E-07,88.47190703,40.02968928,ITO
636,5.46E-07,88.43555867,50.10225813,ITO
637,4.90E-07,88.40162987,54.09557864,ITO
638,4.34E-07,88.37172933,59.92907455,ITO
639,3.91E-07,88.34746576,41.61112993,ITO
640,3.57E-07,88.33044788,58.69671869,ITO
641,3.24E-07,88.32228438,41.71372635,ITO
642,2.90E-07,88.32458397,48.48193942,ITO
643,2.56E-07,88.33851544,55.48185791,ITO
644,2.30E-07,88.36156916,52.84878492,ITO
645,2.10E-07,88.38940342,41.1212064,ITO
646,1.90E-07,88.41766317,53.23042573,ITO
647,1.70E-07,88.44199332,60.09952657,ITO
648,1.50E-07,88.45803881,54.03346209,ITO
649,1.34E-07,88.46144454,51.28720642,ITO
650,1.22E-07,88.44785546,45.08590518,ITO
651,1.10E-07,88.41291648,40.25825299,ITO
652,9.84E-08,88.35227254,40.37273198,ITO
653,8.66E-08,88.26218195,42.16365821,ITO
654,7.71E-08,88.14566461,45.45607645,ITO
655,7.03E-08,88.00993355,53.51140406,ITO
656,6.34E-08,87.86226444,48.88064789,ITO
657,5.65E-08,87.70993298,49.46237465,ITO
658,4.97E-08,87.56021483,59.95695865,ITO
659,4.40E-08,87.4203857,51.91427812,ITO
660,4.01E-08,87.29772127,69.14412374,ITO
661,3.61E-08,87.19908502,64.65070939,ITO
662,3.22E-08,87.1255683,57.57717802,ITO
663,2.82E-08,87.07401295,58.09986013,ITO
664,2.49E-08,87.04116214,54.10826588,ITO
665,2.26E-08,87.02375906,41.57348326,ITO
666,2.04E-08,87.01854687,41.41625037,ITO
667,1.81E-08,87.02226876,45.87182417,ITO
668,1.59E-08,87.03166789,47.89291247,ITO
669,1.39E-08,87.04348745,54.84290171,ITO
670,1.27E-08,87.05447061,62.01209429,ITO
671,1.14E-08,87.06136054,54.51165713,ITO
672,1.01E-08,87.06101433,62.06004249,ITO
673,8.84E-09,87.05259197,64.06608778,ITO
674,7.72E-09,87.03739295,61.97189954,ITO
675,7.01E-09,87.01679792,58.31428016,ITO
676,6.30E-09,86.99218752,59.16119294,ITO
677,5.59E-09,86.96494242,61.13931114,ITO
678,4.88E-09,86.93644325,55.20355562,ITO
679,4.23E-09,86.90807066,68.10131123,ITO
680,3.84E-09,86.88120531,64.18204909,ITO
681,3.45E-09,86.85719745,62.10496733,ITO
682,3.06E-09,86.83652766,44.04825612,ITO
683,2.67E-09,86.81870006,45.25501754,ITO
684,2.30E-09,86.80316688,60.48847213,ITO
685,2.09E-09,86.78938039,58.46069363,ITO
686,1.87E-09,86.77679282,49.91664411,ITO
687,1.66E-09,86.76485644,36.6681794,ITO
688,1.44E-09,86.75302348,53.85876604,ITO
689,1.24E-09,86.74074621,64.3385649,ITO
690,1.12E-09,86.72747687,45.84859571,ITO
691,1.01E-09,86.71266771,52.2867846,ITO
692,8.89E-10,86.69577098,51.16990621,ITO
693,7.73E-10,86.67623894,53.80823154,ITO
694,6.60E-10,86.6536318,65.08225359,ITO
695,5.98E-10,86.62818099,43.28213751,ITO
696,5.35E-10,86.60037545,53.96108112,ITO
697,4.73E-10,86.57070465,56.84773799,ITO
698,4.10E-10,86.53965806,60.8976222,ITO
699,3.48E-10,86.50772513,61.82311454,ITO
700,3.15E-10,86.47539534,48.38635031,ITO
701,2.82E-10,86.44315816,27.28320622,ITO
702,2.49E-10,86.41150304,52.99040288,ITO
703,2.16E-10,86.38091947,56.73035849,ITO
704,1.83E-10,86.3518969,45.68391118,ITO
705,1.65E-10,86.32492481,59.70179669,ITO
706,1.47E-10,86.30049265,59.18682451,ITO
707,1.30E-10,86.27908609,51.86438666,ITO
708,1.12E-10,86.26071052,52.5370799,ITO
709,9.49E-11,86.24442818,73.23454679,ITO
710,8.51E-11,86.22919148,64.94865538,ITO
711,7.60E-11,86.21395284,67.48535605,ITO
712,6.69E-11,86.19766466,49.72014822,ITO
713,5.79E-11,86.17927936,33.8195736,ITO
